Product ID,Category,Sub Category,Product Name,Supplier ID
OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,81566
TEC-PH-10004977,Technology,Phones,GE 30524EE4,37394
FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",39611
OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",59160
FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",55819
TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,70212
TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,69729
OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",93429
OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",96752
TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",78631
OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,92332
OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",53289
TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,35564
TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",62230
OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",47775
OFF-LA-10002762,Office Supplies,Labels,Avery 485,95014
FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,29284
FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",48960
OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,72735
TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,11752
OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,92341
OFF-PA-10001569,Office Supplies,Paper,Xerox 232,61631
FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,92999
OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",85323
OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,53641
OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,50578
TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",98989
OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",38204
OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,30061
FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,70752
FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",76505
OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",27709
TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,83689
OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",66536
OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",37874
FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,78122
FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",33604
OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,90220
OFF-BI-10004182,Office Supplies,Binders,Economy Binders,44885
OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",80373
FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",11502
OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",48058
OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,56593
OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",21530
OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",46699
OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,29657
OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,25954
FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,49724
TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,20251
OFF-LA-10000134,Office Supplies,Labels,Avery 511,13526
OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,40138
OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,34430
OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,10341
OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,14456
FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",96710
OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,87759
OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,39068
FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,13340
OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,26280
OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,53514
TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,50761
OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,72076
OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),81730
FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",64167
OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",94797
TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,23922
TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,59013
OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,20859
TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,90702
FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,90429
OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",80639
OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",75165
OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",16877
OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,27153
OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",93199
FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,48240
OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,54915
FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,31888
OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",30254
OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,62420
TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,70780
FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,47566
FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,36557
OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",58859
OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",73749
FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",76505
FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,69719
TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,86351
OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,16401
OFF-FA-10002780,Office Supplies,Fasteners,Staples,14805
OFF-PA-10001804,Office Supplies,Paper,Xerox 195,33805
OFF-PA-10001736,Office Supplies,Paper,Xerox 1880,94704
OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",82093
OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps,96941
OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,46478
OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors,45351
OFF-AR-10000940,Office Supplies,Art,Newell 343,27656
OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,88839
OFF-PA-10004327,Office Supplies,Paper,Xerox 1911,86813
OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,12206
FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",41443
TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,63803
TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,19140
OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,33192
TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,32034
OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,36934
OFF-PA-10002254,Office Supplies,Paper,Xerox 1883,67297
OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",88755
OFF-AR-10001547,Office Supplies,Art,Newell 311,72355
OFF-LA-10002475,Office Supplies,Labels,Avery 519,86195
TEC-PH-10004536,Technology,Phones,Avaya 5420 Digital phone,67068
OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,45136
TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,31500
OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,11344
OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,49922
OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters,83431
TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,76931
OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,42941
OFF-AR-10002656,Office Supplies,Art,Sanford Liquid Accent Highlighters,29317
OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,29055
TEC-PH-10003931,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,11612
OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",39434
OFF-PA-10001144,Office Supplies,Paper,Xerox 1913,26273
FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray",62529
OFF-AP-10000891,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,81984
OFF-LA-10003148,Office Supplies,Labels,Avery 51,49980
OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",64609
FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",13991
OFF-SU-10002189,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,87611
OFF-AR-10001940,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",47466
OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",16585
TEC-AC-10004659,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,76118
TEC-PH-10004896,Technology,Phones,Nokia Lumia 521 (T-Mobile),46134
TEC-AC-10002345,Technology,Accessories,HP Standard 104 key PS/2 Keyboard,93891
OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets,27731
TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,34187
OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",35431
FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",84164
TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,94947
OFF-PA-10000061,Office Supplies,Paper,Xerox 205,43363
OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford,73060
OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",61355
OFF-AR-10004027,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",83831
OFF-ST-10001414,Office Supplies,Storage,Decoflex Hanging Personal Folder File,45415
OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",73664
OFF-PA-10002749,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",16794
OFF-PA-10002666,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,67756
OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",46948
OFF-AP-10003217,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,52608
TEC-PH-10001918,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,94313
OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray",39151
TEC-PH-10001700,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,15938
OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",86545
TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,43775
OFF-LA-10004544,Office Supplies,Labels,Avery 505,13659
FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,46547
TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,82960
TEC-AC-10000109,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,78067
TEC-PH-10002563,Technology,Phones,Adtran 1202752G1,81872
OFF-FA-10000585,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips,55935
OFF-PA-10004000,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",28091
FUR-FU-10000087,Furniture,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock",17250
TEC-MA-10001148,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,63955
OFF-AR-10001958,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners,67580
OFF-AR-10001026,Office Supplies,Art,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",39970
FUR-TA-10003748,Furniture,Tables,Bevis 36 x 72 Conference Tables,52011
OFF-ST-10002485,Office Supplies,Storage,Rogers Deluxe File Chest,55784
FUR-CH-10004860,Furniture,Chairs,Global Low Back Tilter Chair,57048
FUR-CH-10004477,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",33540
FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table,39884
FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,17947
OFF-BI-10001679,Office Supplies,Binders,GBC Instant Index System for Binding Systems,33306
FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",96047
OFF-PA-10002479,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),91705
OFF-PA-10003349,Office Supplies,Paper,Xerox 1957,37341
FUR-FU-10000576,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,87845
FUR-FU-10004351,Furniture,Furnishings,Staple-based wall hangings,13832
TEC-PH-10000011,Technology,Phones,PureGear Roll-On Screen Protector,25446
FUR-TA-10002607,Furniture,Tables,KI Conference Tables,86741
FUR-FU-10002505,Furniture,Furnishings,Eldon 100 Class Desk Accessories,78922
OFF-ST-10002276,Office Supplies,Storage,Safco Steel Mobile File Cart,64482
OFF-PA-10004082,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",91130
OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,53787
FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",36823
OFF-PA-10004569,Office Supplies,Paper,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",35494
TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone,83470
OFF-ST-10001228,Office Supplies,Storage,"Fellowes Personal Hanging Folder Files, Navy",28412
OFF-EN-10003296,Office Supplies,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes,98260
OFF-ST-10004804,Office Supplies,Storage,"Belkin 19"" Vented Equipment Shelf, Black",25291
TEC-PH-10001580,Technology,Phones,Logitech Mobile Speakerphone P710e - speaker phone,14404
TEC-AC-10000290,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub,30499
OFF-ST-10002790,Office Supplies,Storage,Safco Industrial Shelving,89559
OFF-BI-10003460,Office Supplies,Binders,Acco 3-Hole Punch,51110
OFF-AP-10002203,Office Supplies,Appliances,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,78511
TEC-MA-10003353,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,12313
TEC-PH-10001433,Technology,Phones,Cisco Small Business SPA 502G VoIP phone,67963
TEC-AC-10004469,Technology,Accessories,Microsoft Sculpt Comfort Mouse,92201
OFF-AR-10003602,Office Supplies,Art,"Quartet Omega Colored Chalk, 12/Pack",18461
OFF-FA-10003472,Office Supplies,Fasteners,Bagged Rubber Bands,47544
OFF-ST-10004180,Office Supplies,Storage,Safco Commercial Shelving,86534
OFF-EN-10004386,Office Supplies,Envelopes,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",33859
OFF-ST-10003208,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,90966
TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,68439
FUR-FU-10003274,Furniture,Furnishings,Regeneration Desk Collection,38646
OFF-BI-10002557,Office Supplies,Binders,Presstex Flexible Ring Binders,66198
OFF-PA-10002615,Office Supplies,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",32153
OFF-AR-10001427,Office Supplies,Art,Newell 330,32111
OFF-PA-10000673,Office Supplies,Paper,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad",81597
OFF-PA-10004470,Office Supplies,Paper,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",15692
OFF-ST-10000876,Office Supplies,Storage,Eldon Simplefile Box Office,78647
OFF-LA-10002043,Office Supplies,Labels,Avery 489,66504
OFF-BI-10004967,Office Supplies,Binders,Round Ring Binders,83289
TEC-PH-10001760,Technology,Phones,Bose SoundLink Bluetooth Speaker,58558
FUR-TA-10002903,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top",97891
OFF-PA-10000474,Office Supplies,Paper,Easy-staple paper,48936
TEC-AC-10001956,Technology,Accessories,Microsoft Arc Touch Mouse,30312
OFF-PA-10004100,Office Supplies,Paper,Xerox 216,20788
OFF-BI-10000778,Office Supplies,Binders,GBC VeloBinder Electric Binding Machine,32251
OFF-SU-10000646,Office Supplies,Supplies,Premier Automatic Letter Opener,67319
OFF-FA-10002983,Office Supplies,Fasteners,Advantus SlideClip Paper Clips,12193
OFF-LA-10004689,Office Supplies,Labels,Avery 512,33362
TEC-AC-10002001,Technology,Accessories,Logitech Wireless Gaming Headset G930,17354
FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",15044
FUR-FU-10004091,Furniture,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",67708
FUR-CH-10001891,Furniture,Chairs,Global Deluxe Office Fabric Chairs,74776
FUR-FU-10002918,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,70452
OFF-BI-10004593,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,99847
OFF-FA-10004854,Office Supplies,Fasteners,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",56991
OFF-PA-10002105,Office Supplies,Paper,Xerox 223,42330
OFF-ST-10002756,Office Supplies,Storage,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",14774
OFF-PA-10004243,Office Supplies,Paper,Xerox 1939,34799
FUR-FU-10001861,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",11868
OFF-BI-10002706,Office Supplies,Binders,Avery Premier Heavy-Duty Binder with Round Locking Rings,81071
FUR-TA-10002533,Furniture,Tables,BPI Conference Tables,68289
FUR-FU-10002671,Furniture,Furnishings,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,41277
OFF-AR-10003651,Office Supplies,Art,Newell 350,62312
OFF-BI-10001072,Office Supplies,Binders,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",11727
OFF-AR-10002135,Office Supplies,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,41218
OFF-AR-10002804,Office Supplies,Art,Faber Castell Col-Erase Pencils,94424
FUR-FU-10001918,Furniture,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,83030
FUR-FU-10001756,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",23279
OFF-LA-10000634,Office Supplies,Labels,Avery 509,56252
FUR-FU-10001588,Furniture,Furnishings,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",54466
TEC-PH-10002398,Technology,Phones,AT&T 1070 Corded Phone,27957
OFF-PA-10001937,Office Supplies,Paper,Xerox 21,66132
OFF-AR-10003373,Office Supplies,Art,"Boston School Pro Electric Pencil Sharpener, 1670",56907
TEC-MA-10002927,Technology,Machines,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,21256
TEC-AC-10000892,Technology,Accessories,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,53325
OFF-FA-10000624,Office Supplies,Fasteners,OIC Binder Clips,73860
TEC-AC-10001908,Technology,Accessories,Logitech Wireless Headset h800,92644
FUR-FU-10001967,Furniture,Furnishings,Telescoping Adjustable Floor Lamp,45974
TEC-PH-10003645,Technology,Phones,Aastra 57i VoIP phone,55279
OFF-ST-10000675,Office Supplies,Storage,"File Shuttle II and Handi-File, Black",98557
FUR-CH-10003312,Furniture,Chairs,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,75857
OFF-LA-10001074,Office Supplies,Labels,Round Specialty Laser Printer Labels,84249
OFF-BI-10001524,Office Supplies,Binders,GBC Premium Transparent Covers with Diagonal Lined Pattern,89353
TEC-PH-10004614,Technology,Phones,AT&T 841000 Phone,70880
OFF-BI-10001153,Office Supplies,Binders,Ibico Recycled Grain-Textured Covers,14251
OFF-BI-10001982,Office Supplies,Binders,Wilson Jones Custom Binder Spines & Labels,17647
OFF-BI-10001922,Office Supplies,Binders,Storex Dura Pro Binders,57653
TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,57808
OFF-BI-10004140,Office Supplies,Binders,Avery Non-Stick Binders,63065
FUR-TA-10004575,Furniture,Tables,Hon 5100 Series Wood Tables,65879
OFF-FA-10000490,Office Supplies,Fasteners,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",36439
OFF-AR-10000122,Office Supplies,Art,Newell 314,15122
